N,P,K,temperature,humidity,ph,rainfall,label
107,11,54,28.59052369,91.33617236,6.094016337999999,29.44008034,muskmelon
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize
24,53,17,28.95451232,89.07866095,6.421271178,57.65901369,mungbean
63,37,43,23.41798979,85.08640476,6.661957897000001,185.74467280000002,jute
66,44,20,19.078147100000002,69.02298571,6.740000687999999,80.72515943,maize
35,74,22,26.723001399999998,62.96841833,6.898905799,42.87274897,lentil
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,chickpea
21,38,21,29.75538903,86.45193297,6.637677489,37.54602719,mungbean
8,6,33,28.27804288,93.64761266,6.095261012999999,171.9457959,coconut
40,22,29,27.55821802,99.98187601,5.735364307,174.62564809999995,coconut
107,36,21,25.29250148,75.66653335,6.205263534,62.64174227,cotton
5,59,15,18.87492997,20.18238348,5.97229163,134.1811718,kidneybeans
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,chickpea
18,36,23,24.01825377,53.76623369,7.2140786210000005,35.03404425,mothbeans
98,27,27,24.71384065,51.29142534,7.238109556,197.6439711,coffee
52,70,16,33.66855394,66.60416867,7.534811832999999,67.32520551,blackgram
140,38,15,24.1472953,75.88298598,6.021439523,69.91563467,cotton
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize
7,45,22,25.50634557,44.8302551,9.926212291,74.32635105,mothbeans
24,61,17,22.6371424,65.44544859,6.233269045,38.30411077,lentil
1,62,23,15.43546065,18.37477907,5.607808432000001,139.0302034,kidneybeans
89,83,47,28.09577643,77.79586769,5.63127166,109.54086140000001,banana
81,16,45,26.90435747,86.25426228,6.727468157000001,59.75980023,watermelon
31,136,197,31.11047251,83.34010951,5.653776057999999,71.43001582,grapes
3,63,16,24.38041875,61.18458224,6.868881707999999,53.13946695,lentil
39,73,24,25.65842532,61.18235808,7.22405917,69.28607828,blackgram
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice
4,24,43,22.40423537,88.1508343,7.199504273,109.8695196,pomegranate
25,22,25,33.56150184,45.53556603,5.977413802999999,95.70525913,mango
1,8,26,27.5136304,94.18955816,5.562911913,156.6732553,coconut
102,53,21,23.03814028,76.11021529,6.913678684,91.49697481,cotton
23,58,19,24.17093241,58.25204566,5.243634848999999,59.18953429,mothbeans
17,58,20,28.06642822,85.91625451,6.42937879,39.23831035,mungbean
19,72,15,28.83600962,69.76112921,6.890760124,44.08562546,lentil
6,139,199,25.67385024,81.6212135,6.29099842,74.10919422,grapes
7,77,18,20.5591255,60.54880693,6.655918077999999,191.08951090000002,pigeonpeas
107,72,45,28.14938935,81.54448882,5.790768046,91.40508414,banana
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize
119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,banana
82,18,48,29.09588297,94.16748386,6.1590508160000015,26.70581328,muskmelon
39,138,203,21.19339319,82.33098331,6.399433771,74.62834921,grapes
22,60,18,19.59221047,61.28633405,6.74398035,41.7704893,lentil
99,5,47,24.13078816,84.84494575,6.649086972,51.19470197,watermelon
86,79,45,27.81251452,82.69285419,5.80766417,99.20961514,banana
18,125,204,22.35548159,94.47811755,6.046673619,116.7366261,apple
19,21,34,30.01592643,53.19212381,5.074272692,97.72843182,mango
14,58,17,30.53684308,59.96664731,4.605700542,33.48919022,mothbeans
105,77,52,29.16226551,76.16151562,5.816622478999999,100.0075679,banana
12,20,10,24.45132792,93.10527686,6.528354932,109.4711098,orange
37,18,12,10.2708877,90.19147747,7.401121811,106.69552040000002,orange
7,141,195,23.881245800000002,93.45067555,5.514253142,104.9116663,apple
89,52,42,23.09433785,81.45139295,6.14132902,196.6587013,jute
15,36,27,27.78912455,53.96886679,5.6437102160000014,91.01152997,mango
82,40,40,23.83067496,84.81360127,6.271478837999999,298.5601175,rice
13,132,203,23.60115364,82.48336987,6.423216506,73.23901752,grapes
57,57,75,17.09104223,18.25142068,7.785039076,87.27444866,chickpea
44,56,49,39.23342464,91.25589286,6.519779582999999,64.4478499,papaya
61,44,17,26.10018422,71.57476937,6.931756557999999,102.2662445,maize
95,26,45,29.91690582,94.55695552,6.117530021,28.16057247,muskmelon
44,64,54,29.80744318,91.38048469,6.74274935,232.70461260000002,papaya
89,47,38,25.52468965,72.24850829,6.002524871,151.8869972,jute
89,60,19,25.19192419,66.69029010000001,5.913664501,78.06639649,maize
2,131,199,22.47420512,91.22759742,6.017370134,124.2179699,apple
20,60,22,29.65052947,42.89833235,6.876572502999999,186.9226052,pigeonpeas
107,31,31,23.17124551,52.97841162,6.766184468,153.12016440000005,coffee
37,137,199,22.63946441,90.18451645,5.697945522,108.3405879,apple
32,20,35,26.52166434,98.38227669,5.588655387,144.6261698,coconut
10,79,20,24.98287462,66.895409,6.379881442,38.21370568,lentil
7,31,27,31.32863689,47.59319575,6.524114355,94.67344737,mango
115,9,52,29.06785065,90.97685539,6.0193724589999995,29.1194739,muskmelon
75,56,44,25.2746335,73.7459581,6.109478059,168.0432282,jute
120,48,16,22.46054478,75.40989245,7.456971816,71.85436078,cotton
5,8,5,11.03367937,92.22706805,6.562594972,112.77159250000001,orange
39,30,38,20.12644921,87.59629625,6.965156737999999,108.065579,pomegranate
52,63,19,29.58949031,68.32176769,6.928898659,67.53021213,blackgram
79,42,37,24.87300744,82.84022551,6.587918707999999,295.60944920000014,rice
3,49,18,27.91095209,64.70930606,3.6928636010000004,32.67891866,mothbeans
102,24,54,27.72338349,90.93897939,6.698468621,22.81863447,muskmelon
88,5,47,25.86475496,86.67468041,6.662244646,41.16554802,watermelon
33,59,19,23.19305333,62.74710773,7.641024177,49.55213308,lentil
29,72,24,23.17409556,36.67847052,6.962386495,162.5931264,pigeonpeas
37,135,205,11.82768186,80.2827185,5.510924848999999,74.10225057,grapes
14,55,15,27.33580911,55.27755933,8.050304395,73.44775287,mothbeans
19,17,39,24.72485577,85.56083187,6.728599215,111.2787584,pomegranate
87,48,38,23.81579631,80.94023552,7.161865733,190.31221599999998,jute
118,21,51,24.42998931,86.33904774,6.678805092,48.58241822,watermelon
116,38,34,23.29250318,50.04557009,6.020947179,183.46858500000002,coffee
91,41,37,24.48556447,83.20630007,6.132570522999999,192.23162209999998,jute
32,145,203,23.83053666,90.84422164,6.406818518,109.5966791,apple
67,60,38,24.79853023,78.53037059,7.16214284,162.2847429,jute
34,11,10,31.75048899,94.59551226,7.36220835,115.1989301,orange
12,19,31,27.25373364,52.66319725,5.566704378,91.87312479,mango
25,57,19,17.15432954,19.87070659,5.566522896,87.99669731,kidneybeans
92,7,45,26.70607759,81.14149505,6.944640222,51.51033554,watermelon
30,75,25,30.33276599,42.35249879,6.446091759,149.299952,pigeonpeas
131,52,16,23.65724079,84.47601498,6.486068274,88.54479121,cotton
19,7,9,27.255435,91.71369387,6.969883482999999,101.13943499999999,orange
120,20,45,25.66576039,88.6984228,6.114128685,54.22722466,watermelon
89,11,47,29.78714005,94.65343534,6.327822962000001,27.865944199999998,muskmelon
110,39,18,24.54795322,75.39752705,7.766259768999999,63.88079866,cotton
27,59,22,21.81167649,23.20591245,5.794158503999999,130.0608093,kidneybeans
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,chickpea
55,78,21,33.39438752,62.93692886,6.602888248999999,63.57445989,blackgram
2,72,18,26.57597546,60.97876599,7.836719564,50.89110726,lentil
67,43,38,25.21622704,70.88259632,7.299304715,195.86455519999998,jute
9,16,36,23.77989026,92.93386903,5.893332377999999,106.977723,pomegranate
93,22,48,29.12533739,91.52291141,6.776987974,21.90440445,muskmelon
16,18,26,28.43647052,91.81320717,5.568365926,145.54144130000003,coconut
85,89,51,29.21144871,84.70189923,6.1581644220000005,108.5501443,banana
85,9,53,28.20619412,92.86798698,6.447662945,28.78654515,muskmelon
92,75,45,29.01207743,77.95192527,5.674403358999999,90.43495443,banana
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
12,67,23,25.62896213,63.14909763,6.585020302999999,45.49683991,lentil
38,141,198,13.05809741,80.28297993,5.757009965,70.75633584,grapes
113,15,29,27.09617155,63.55324262,6.779230041,190.2440566,coffee
42,67,77,18.99424448,15.9362937,7.1144052879999995,78.69707199,chickpea
22,54,20,28.56149805,83.63802195,6.689825155,41.013132,mungbean
22,67,22,29.03017561,64.49166566,7.475926645,54.93937710000001,lentil
44,58,18,28.03644051,65.06601664,6.814410927999999,72.49507741,blackgram
100,74,52,25.43480512,81.53977797,5.837258235,96.47800391,banana
81,56,36,23.39605743,72.60512854,7.097586415,174.78764109999997,jute
2,40,27,29.73770045,47.54885174,5.9546266039999995,90.09586854,mango
27,59,20,28.00937423,52.60950014,4.397698806,36.01203025,mothbeans
4,46,15,31.01274943,62.40392519,3.5047523139999996,63.77192383,mothbeans
93,22,52,26.58740671,81.32563243,6.932739726,41.87540028,watermelon
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram
40,22,6,24.53610067,91.90997228,6.488221135,115.9787989,orange
111,6,53,26.49306450000001,88.59143088,6.313512998999999,46.06382209,watermelon
32,137,204,22.86006627,93.12859895,5.824151692999999,117.7296726,apple
14,140,197,23.35225078,90.90054697,6.071255131,113.03813819999999,apple
118,33,30,24.13179691,67.22512329,6.362607851,173.32283859999995,coffee
23,70,15,34.600824700000004,63.11296779,7.403623355,60.41790253,blackgram
89,22,52,24.89681131,86.10782926,6.217300786,53.14626213,watermelon
120,60,15,22.31871914,83.86129998,7.288377241,65.35747011,cotton
73,45,21,24.60532218,73.58868502,6.636803222999999,96.59195302,maize
20,72,19,32.47648301,64.34848735,7.397190844,65.82045699999999,blackgram
22,123,205,32.44577836,83.88504863,5.896343436,68.73932528,grapes
30,75,81,19.41789736,16.80472243,6.4084378860000015,68.4951189,chickpea
25,130,197,39.70772192,82.68593454,5.554831977,74.91506217,grapes
28,27,32,28.94099669,93.00109012,5.764615485,191.7723087,coconut
88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,banana
32,57,22,28.6899851,87.50436797,6.769415887999999,44.56598352,mungbean
2,51,17,25.87682261,45.96341933,5.838508699,38.53254678,mothbeans
100,46,18,24.18586246,76.04203958,6.4316895060000006,69.08056728,cotton
31,75,18,15.46789263,21.43780702,5.824208308999999,88.88796102,kidneybeans
111,41,18,23.64328417,78.1258666,6.10539819,80.96157332,cotton
95,14,50,26.6333118,84.31756844,6.560443519,56.31866159,watermelon
40,5,32,26.07010807,96.7036223,5.981169595,143.533473,coconut
7,126,203,16.76201707,82.00335557,5.662140095,73.28712806,grapes
13,121,196,22.20700989,93.50574163,6.443382913,120.1593771,apple
68,69,52,25.65492304,92.74501561,6.813383387000001,52.95477913,papaya
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice
110,28,46,24.29105004,88.04541346,6.49889585,51.26046418,watermelon
91,21,26,26.33377983,57.36469955,7.261313694,191.65494119999997,coffee
15,133,199,23.99686172,91.61001707,5.8247786360000005,117.6102915,apple
37,124,195,18.70679077,83.4795292,6.209928251,66.5964488,grapes
39,16,27,35.53845018,52.94641947,4.934964765,91.54560427,mango
7,15,32,25.03512351,95.89739958,6.182232762000001,174.796583,coconut
28,79,16,24.70626432,60.26854183,6.0521848810000005,53.12442925,lentil
21,39,20,28.14448546,82.1193047,7.064782137999999,46.75690086,mungbean
83,15,49,28.92705913,91.39356832,6.438008152999999,23.20076686,muskmelon
31,13,33,29.69952329,95.21224392,6.342463714,148.30036919999995,coconut
20,23,11,31.852069399999994,90.12220323,6.407715561,109.9455062,orange
118,12,47,27.96872279,92.17444796,6.010739645,28.94766949,muskmelon
37,24,13,19.14381903,90.71037456,7.8546243,108.02307920000001,orange
7,74,17,22.47253208,62.56532471,5.667419697000001,96.74706956,pigeonpeas
26,126,195,21.41363812,92.99124545,5.878568981,118.39790649999999,apple
31,76,82,20.8248451,17.85057083,7.599279991,79.20509212,chickpea
44,76,22,27.26458947,68.01232937,7.775306272000001,68.91754359,blackgram
109,29,28,23.26316991,60.51600210000001,6.724688502999999,194.1755471,coffee
12,63,17,18.358923,19.37703396,5.717143397,138.414764,kidneybeans
14,21,35,29.52501367,91.91185319,6.121005506,194.31002719999998,coconut
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,chickpea
22,42,22,25.54249137,56.96640758,7.887658711,48.46797044,mothbeans
11,44,17,26.34043268,55.59160391,8.016210782,35.1051197,mothbeans
22,133,201,23.81995682,80.12211649,6.00299607,67.27398640000001,grapes
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,chickpea
0,23,15,22.56664172,93.37488907,7.598729065,109.8585753,orange
9,56,17,26.13708256,66.7729209,6.261937875,46.48280681,lentil
58,71,15,27.82592799,67.58618829999999,6.919243702,74.01229707,blackgram
109,79,45,27.66752761,79.68542782,6.490074429,108.66463999999999,banana
34,15,34,27.05826457,91.10510371,5.677282677999999,224.70069530000004,coconut
29,11,5,23.13338811,91.94670335,7.639788459,104.4224145,orange
71,46,40,20.2801937,82.1235421,7.236705436,191.95357380000002,rice
6,48,24,28.6362812,84.61431076,6.7907363389999995,48.48319335,mungbean
0,26,31,25.0707247,95.02156793,5.547933273,192.90363059999999,coconut
39,139,201,41.18664903,81.01783402,5.5399808120000005,68.68895899,grapes
40,55,18,30.38257873,40.5926071,7.115994051,47.95406479,mothbeans
27,24,29,26.61423461,96.97300803,6.142010637,191.006688,coconut
37,74,15,24.92360104,18.22590825,5.582178402,62.7089169,kidneybeans
18,30,29,26.76274930000001,92.86056895,6.4200187170000005,224.5903664,coconut
32,43,22,31.99928579,54.1077461,5.270749441,71.6266696,mothbeans
93,81,50,27.71822477,76.57853189,6.0360792660000016,102.20998359999999,banana
13,23,6,23.96147583,90.26408017,7.365338111,102.6958703,orange
95,16,55,25.26931156,87.55055105,6.6128479989999995,40.12650421,watermelon
99,15,27,27.0424167,57.27927475,6.5011572079999995,165.6872119,coffee
53,67,17,31.77681682,69.01852894,7.296972161,61.46892873,blackgram
100,17,48,29.72791119,94.29753295,6.367800632000001,26.52364146,muskmelon
81,30,31,24.65090184,51.93952357,7.027585558999999,135.1386537,coffee
85,21,47,29.87331077,90.60932469,6.186770318,24.69720481,muskmelon
35,138,200,21.19909519,90.80819418,5.67130617,103.6838922,apple
102,73,52,27.9122104,83.36307683,6.356090905,90.24211529,banana
66,53,19,23.09348056,60.11593810000001,6.033550195,65.49730729,maize
110,15,48,28.57819995,92.86597437,6.2125672110000005,27.59871780000001,muskmelon
35,72,21,34.03619494,64.28791388,7.741418772,66.85510868,blackgram
33,143,204,21.1316077,91.95769858,5.814434775,122.5391946,apple
34,80,19,31.49338309,63.0563645,6.521217963,71.48327008,blackgram
9,51,19,27.04453473,49.32609633,5.49091063,48.25207759,mothbeans
96,18,50,25.331044600000002,84.30533791,6.904241707000001,41.53218699,watermelon
112,87,48,27.19711623,77.39706290000002,6.200111067999999,99.46950465,banana
81,6,55,24.88910524,85.87059083,6.110142735,51.70699144,watermelon
24,38,22,24.47876451,58.51663927,8.202706015,34.96933295,mothbeans
72,45,35,25.42977518,82.94682591,5.758506323,195.35745419999998,rice
37,10,32,28.96318258,95.16333673,6.165084855,222.803013,coconut
12,31,26,35.7877738,51.94190321,5.395275719,100.2160615,mango
6,123,203,12.7567962,81.62497448,6.130310493,66.77844567,grapes
29,22,40,23.62600218,89.73266695,6.145104401,107.6836871,pomegranate
32,79,15,23.90910104,20.74619325,5.706198621,81.60211243,kidneybeans
39,145,201,36.73126647,80.58931938,5.775600435,72.24230804,grapes
60,37,39,26.59104992,82.94164078,6.033485257000001,161.2469997,jute
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice
100,52,19,23.45969093,82.44777468,7.903528672999999,93.50153555,cotton
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean
29,76,15,28.541723600000005,64.2020154,7.0256077060000015,69.68862306,blackgram
16,75,21,18.50692825,23.61670065,5.679224346,87.05132890000002,kidneybeans
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice
31,144,202,11.02105378,80.55557235,5.870600622,68.23963161,grapes
29,140,195,23.64082979,90.95257927,5.560521058,116.74313190000001,apple
15,11,38,23.12808226,92.68328358,6.630646082999999,109.3930157,pomegranate
20,74,16,36.04353699,43.61444121,4.759490199,159.8938645,pigeonpeas
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize
11,143,197,22.98458907,93.32044870000001,5.875718516,122.1952483,apple
24,73,20,19.63736208,32.31528909,4.608695247,176.4134092,pigeonpeas
10,9,28,29.01256899,94.01014388,6.282955072999999,150.05003119999995,coconut
23,55,16,21.01142393,69.69141302,5.111488821,185.2039114,pigeonpeas
65,62,51,31.53243779,90.87394933,6.5116248410000015,207.0735119,papaya
