시도명,읍면동명,거주인구,근무인구,방문인구,총 유동인구,평균 속도,평균 소요 시간,평균 기온,일강수량,평균 풍속,월,일,년
1,8,71782.19,7265.28,69317.827,148365.298,25.889,22.222,7.5,16.5,6.8,3,20,2018
1,27,1167375.445,163709.265,588616.809,1919701.519,27.731,41.115,0.0,1.5,0.0,3,5,2018
0,20,116062.895,4443.85,69939.04400000001,190445.789,38.222,27.778,19.6,0.0,1.1,6,3,2018
0,36,71172.399,18793.986,133745.81699999998,223712.202,46.562,52.344,4.5,0.0,3.1,12,6,2019
1,11,415803.80600000004,22413.107000000004,116840.77,555057.683,29.857,17.857,13.5,0.0,1.567,3,29,2018
1,3,423426.56200000003,49562.953,328885.187,801874.702,50.08600000000001,49.343,24.433000000000003,30.5,5.132999999999999,8,16,2018
0,19,286820.233,28243.98,288886.017,603950.23,46.919,49.27,11.7,31.0,3.4,12,29,2019
0,30,43918.905999999995,7021.312,64327.083,115267.30099999999,56.5,31.625,12.0,15.5,1.7,4,11,2020
1,4,70295.099,24886.086,116760.83099999999,211942.016,34.818000000000005,57.273,24.1,0.0,1.9,8,1,2018
0,19,356638.481,29182.376,180169.182,565990.039,47.243,48.757,6.9,6.5,5.9,3,28,2020
0,22,190626.94,19261.352,148869.655,358757.946,49.0,43.611,10.1,0.0,2.2,4,5,2019
0,36,68259.857,21057.447999999997,185003.372,274320.67699999997,46.75,50.53100000000001,26.4,0.0,1.3,8,23,2019
0,6,75042.537,25105.463,77224.023,177372.02300000004,40.609,18.304,21.7,0.0,5.1,9,11,2018
1,8,70630.713,8725.141,95590.867,174946.72199999998,28.889,26.889,28.9,0.0,2.1,7,31,2019
0,16,284860.462,26810.043999999998,204351.89399999997,516022.399,37.37,33.148,14.8,0.5,2.3,3,21,2019
0,14,217256.31600000002,27600.297000000002,160637.131,405493.744,44.56800000000001,34.973,14.5,0.0,4.1,11,7,2019
0,16,284355.298,37807.558,209417.98100000003,531580.837,38.0,33.741,26.1,0.0,1.2,8,21,2018
0,40,372682.492,28970.119,183186.01100000003,584838.622,55.118,45.765,15.333,0.0,4.833,4,25,2019
0,19,381447.62299999996,42587.817,246230.93399999998,670266.374,46.622,49.216,20.8,15.5,1.2,9,1,2019
0,20,115259.18699999999,6337.9169999999995,79673.871,201270.975,37.667,28.667,4.6,0.0,1.5,2,9,2019
1,37,34220.192,7870.91,82382.968,124474.069,27.25,25.5,21.1,0.0,2.2,6,2,2018
1,32,242982.97600000002,10435.138,109802.89300000001,363221.00700000004,35.45,32.55,11.1,0.0,1.2,11,30,2019
0,22,166763.846,14424.313999999995,117381.811,298569.971,50.0,42.667,18.8,0.0,0.8,7,7,2018
0,28,49645.084,11196.418,99519.099,160360.6,57.286,33.714,11.5,12.5,3.3,3,9,2019
0,22,214032.418,15518.45,136576.459,366127.3270000001,49.95,40.7,19.8,49.5,2.7,8,21,2019
1,11,455150.44299999997,23919.392000000003,97573.677,576643.512,30.143,18.286,7.1670000000000025,9.333,4.0,4,10,2019
0,28,43042.185999999994,17846.107,104470.713,165359.005,59.286,32.571,13.9,0.0,1.3,4,20,2018
1,35,212247.77,15572.86,158142.032,385962.662,34.375,25.75,5.2,0.0,2.4,12,21,2019
1,38,28872.604,4232.549,77776.317,110881.47,40.632,29.842,22.4,1.5,3.6,10,3,2019
1,27,1170445.514,116271.022,617266.5079999999,1903983.044,27.308000000000003,41.385,12.9,0.0,3.2,10,20,2018
0,20,111179.962,5396.729,69511.675,186088.366,38.778,27.44400000000001,24.9,0.0,1.4,7,15,2018
0,26,73840.131,5597.55,32763.16,112200.841,40.2,19.733,6.425,0.0,4.45,3,15,2019
0,30,45783.21400000001,7389.2580000000025,101856.963,155029.435,55.875,32.625,7.1,0.0,1.5,12,28,2019
1,34,143151.22,24053.607999999997,161278.19,328483.018,31.0,49.0,11.2,0.0,2.4,10,25,2018
1,38,28291.471,5379.025,78889.323,112559.819,34.667,44.056,4.2,0.0,2.7,2,21,2018
1,38,25053.396,5147.535,99762.891,129963.82199999999,37.526,45.0,17.3,0.0,2.7,5,21,2019
0,18,385679.42799999996,43571.389,182019.174,611269.991,38.8,32.68,21.5,0.0,3.9,9,19,2019
1,7,1002693.95,135608.894,602989.797,1741292.6409999996,38.824,30.804,19.0,5.0,2.5,8,16,2019
1,23,129451.644,12873.33,80605.421,222930.396,50.679,45.357,23.15,17.0,1.65,7,6,2018
1,34,147875.397,19802.037,149551.165,317228.599,28.6,50.2,4.8,5.0,0.0,3,4,2019
1,23,133755.542,10071.318000000001,80767.062,224593.922,51.643,44.607,6.9,0.0,3.0,1,18,2018
1,3,413307.49100000004,45950.437999999995,285165.326,744423.2540000002,51.514,47.229,3.767,0.0,2.333,2,21,2019
1,15,798597.559,213252.451,325029.57399999996,1336879.584,38.667,64.741,21.3,0.0,1.85,6,25,2018
1,32,275127.945,11563.296,110672.844,397364.084,38.6,28.3,5.5,0.0,3.1,2,9,2020
1,10,92767.439,15256.041000000001,125884.257,233907.738,29.667,15.333,19.3,0.0,2.2,5,14,2018
0,1,280588.4,16938.912,193806.747,491334.059,54.2,40.486,6.75,0.0,2.05,2,25,2018
1,23,126829.123,12405.694,108646.664,247881.482,48.576,52.212,27.8,0.0,3.25,7,31,2019
1,38,26290.515,4971.178,82058.74,113320.43199999999,34.389,51.722,9.5,20.5,4.7,3,7,2018
1,33,413237.383,23722.506,343960.44399999996,780920.334,47.855,62.69600000000001,23.2,0.0,2.4,9,13,2019
1,24,1263456.372,75626.918,439806.31,1778889.6,42.988,29.07,11.2,0.0,1.9,3,22,2020
1,13,611868.91,46302.235,227771.538,885942.683,28.273000000000003,36.727,20.6,0.0,4.2,6,14,2018
1,12,249801.379,53586.731,400660.50899999996,704048.62,30.0,28.273000000000003,26.5,0.0,2.4,8,5,2018
1,4,95346.19,6020.879,116922.74900000001,218289.818,37.2,51.2,12.4,0.0,1.5,10,20,2019
1,34,165470.434,15516.969,189141.965,370129.36799999996,43.2,38.0,19.4,0.0,1.2,9,15,2019
1,8,72953.247,4894.362,91651.013,169498.622,31.667,23.667,11.3,2.0,3.0,1,25,2020
1,17,541551.922,75015.981,196791.35600000003,813359.2590000002,31.462,37.923,15.2,0.0,1.9,5,10,2019
0,16,277275.732,32986.538,198496.71300000002,508758.98299999995,37.111,34.63,13.9,0.0,1.3,4,20,2018
0,40,359111.237,27802.267000000003,150787.078,537700.582,54.111,50.556,24.7,0.0,3.9,7,25,2019
0,22,180710.157,16973.898,122584.115,320268.17,48.667,43.167,15.2,37.0,2.2,9,7,2018
1,35,201094.91600000003,15461.398000000001,143168.393,359724.70700000005,32.5,29.5,18.3,0.0,2.9,10,12,2019
0,0,222411.657,17744.093999999994,92685.153,332840.904,45.049,30.049,24.4,0.0,2.1,7,1,2018
0,40,353319.48,27495.902000000002,128159.14,508974.52200000006,55.158,43.053,27.13300000000001,0.0,2.633,7,17,2018
0,30,49575.956,14617.514,136939.699,201133.169,57.0,30.5,1.7,0.0,3.8,1,29,2018
0,20,124807.781,5069.795,123058.037,252935.613,41.333,25.889,18.1,6.0,1.2,11,24,2019
1,13,613924.01,22977.846,374570.527,1011472.3840000001,30.455,36.182,2.8,0.0,2.4,2,16,2018
0,36,64191.163,22397.118,176229.822,262818.102,46.133,50.267,9.25,0.0,2.2,1,15,2018
1,33,489816.55600000004,37892.746,164415.802,692125.103,45.464,66.391,0.4,7.0,5.9,2,17,2020
1,7,1035548.677,96829.08,581170.556,1713548.313,39.698,34.981,0.5,0.0,0.6,1,21,2018
0,1,274999.297,15612.878,171105.443,461717.619,53.371,41.657,11.5,33.125,2.45,3,18,2018
1,4,70599.16,12788.696000000002,125837.121,209224.978,35.545,56.909,13.1,0.0,1.7,4,28,2018
1,38,27436.833,5547.9969999999985,81863.587,114848.41699999999,35.111,40.167,5.7,0.0,2.3,12,10,2018
0,19,340123.885,54221.893,272895.408,667241.186,50.643,45.357,8.5,1.0,1.8,1,19,2019
0,9,67050.27799999999,5322.553000000001,63634.203,136007.034,47.474,28.105,23.8,34.5,1.5,9,2,2019
1,12,233648.34,71227.59700000001,264912.978,569788.915,27.364,33.818000000000005,6.7,23.0,1.6,12,11,2018
1,10,101485.272,18654.667,134826.939,254966.878,33.75,28.75,9.3,26.0,1.5,1,22,2020
0,9,79620.476,4372.333,68167.178,152159.986,48.526,26.842,6.7,0.0,1.7,2,23,2020
1,24,1223129.153,85865.8,496008.30100000004,1805003.254,41.36,29.372,21.1,0.0,0.9,8,4,2019
0,22,231935.853,12830.069,110961.685,355727.606,50.7,39.8,8.8,0.0,1.7,3,25,2020
0,36,64569.72900000001,22592.382,183037.27899999998,270199.39,46.967,48.333,7.2,0.0,3.25,1,18,2018
1,32,250730.924,11944.096000000001,107857.19300000001,370532.214,35.05,33.5,19.5,0.0,2.2,10,12,2019
1,2,162172.824,19014.043999999998,188267.843,369454.711,35.125,18.25,19.2,0.0,3.9,9,30,2018
1,4,86232.87400000001,11359.002,95491.864,193083.741,37.0,50.1,17.0,22.5,1.9,7,13,2019
1,13,640850.8979999999,45425.724,257426.58399999997,943703.207,27.727,42.909,21.4,31.0,3.4,7,6,2018
0,0,198621.75600000002,17150.84,99819.446,315592.042,45.805,30.317,18.5,17.0,1.8,5,12,2018
1,35,226853.312,18024.734,128080.351,372958.39700000006,35.0,26.5,9.8,0.0,2.4,4,14,2020
1,27,1112956.887,208741.953,556342.417,1878041.2580000001,27.846,39.5,10.0,0.0,2.8,4,18,2018
0,0,202519.047,24149.655,103008.474,329677.17600000004,44.917,30.875,15.5,0.0,1.1,10,31,2019
0,39,280730.057,26587.596,185178.181,492495.835,46.667,58.905,15.4,0.0,2.4,11,6,2018
0,19,341497.605,63846.997,275300.606,680645.208,51.57100000000001,44.786,14.4,0.0,2.6,4,26,2018
1,33,443842.219,36290.649,219565.80899999998,699698.677,50.653,62.597,11.45,0.0,2.3,11,10,2018
0,18,387576.391,42895.153,173548.61899999998,604020.163,38.6,34.12,21.6,0.0,5.1,9,20,2019
1,33,443555.22,22741.717999999997,211898.24800000002,678195.185,49.188,61.652,10.1,0.0,1.9,12,15,2019
1,5,696485.062,71861.79400000001,675719.2059999999,1444066.062,50.64,51.989,21.425,1.0,5.275,7,31,2018
1,15,737371.8740000002,39604.346,300238.497,1077214.717,40.185,59.926,1.967,0.5,1.367,2,18,2018
1,10,106093.011,16128.503,97420.024,219641.539,39.5,17.5,8.2,0.0,2.5,4,9,2020
1,32,225441.50100000002,13738.403,112634.045,351813.95,33.95,35.55,22.5,0.5,1.4,7,12,2019
1,34,138625.177,23324.285,158868.468,320817.93,31.4,48.6,10.4,0.0,2.8,10,18,2018
1,38,25272.743,6802.017,110300.606,142375.366,38.474,38.053,22.0,0.0,1.3,7,2,2019
0,6,84733.326,8725.844000000001,89495.242,182954.41100000002,40.783,18.739,10.4,0.0,3.0,4,8,2018
0,40,407312.11100000003,31762.894,162909.043,601984.049,51.0,53.278,10.433,0.0,2.7,12,13,2019
1,37,33579.77,6198.3269999999975,68193.395,107971.492,26.25,26.25,18.4,9.5,3.4,9,29,2018
0,28,51793.640999999996,14162.678999999998,85124.95800000001,151081.27800000002,55.286,40.143,12.4,0.0,1.3,4,9,2020
1,37,31086.894,6999.534000000002,81132.858,119219.286,29.5,23.25,1.5,0.0,2.6,2,17,2018
1,25,280578.01399999997,36804.07700000001,295366.485,612748.575,31.2,47.133,18.6,0.0,2.1,5,14,2019
1,34,147702.321,19808.418,152664.751,320175.49,29.8,53.4,23.4,0.0,1.1,8,21,2018
0,28,45788.77,17948.542,104425.31599999999,168162.628,55.286,39.143,16.3,0.5,2.4,11,4,2019
1,4,72205.687,27270.421000000002,93624.707,193100.815,35.36400000000001,59.364,3.2,0.0,3.2,12,18,2018
0,28,53828.085999999996,14158.832,112617.46699999999,180604.384,58.429,32.857,8.2,3.0,2.0,2,18,2019
1,24,1135785.866,179875.299,512569.15,1828230.315,36.931,34.885,19.6,0.0,1.3,6,25,2018
0,36,63389.74400000001,19773.39,172631.827,255794.962,47.125,50.40600000000001,22.9,8.75,2.05,7,17,2019
0,9,74815.442,5275.9619999999995,61506.986,141598.39,48.737,26.842,7.8,0.0,1.8,2,3,2020
1,23,139057.316,13917.695,94920.377,247895.387,48.606,57.182,21.25,0.0,3.55,9,19,2019
1,12,228808.229,80541.594,289560.554,598910.378,28.091,32.909,11.3,5.0,1.5,11,12,2018
0,22,239909.423,12514.223,94034.57199999999,346458.219,50.25,40.45,3.0,0.0,1.2,3,12,2020
0,6,80672.47099999999,13812.108999999999,107593.83099999999,202078.41100000002,40.913,18.261,7.3,0.0,1.7,3,2,2018
1,7,1026016.718,141457.299,583921.5079999999,1751395.524,37.906,37.491,22.5,6.5,1.5,7,23,2018
0,16,293057.166,40970.854,174971.62,508999.64,37.032,36.935,21.2,5.0,4.5,7,8,2019
1,21,274525.33,22424.092999999997,144619.193,441568.61600000004,51.441,55.5,8.933,1.833,3.467,1,28,2020
0,26,86516.133,4746.65,29973.217999999997,121236.0,40.533,21.133000000000006,10.625,0.0,2.45,4,14,2020
1,10,97475.985,19701.734,138668.4,255846.11899999998,37.0,23.5,21.5,0.0,1.7,6,5,2019
1,11,427220.723,24267.229,100009.104,551497.057,30.0,18.857,7.433,16.0,7.1670000000000025,4,6,2018
1,4,90771.978,10122.693000000001,89045.77699999999,189940.449,35.091,58.0,16.8,213.5,5.7,5,18,2019
1,15,779387.1540000002,119381.84599999999,341026.291,1239795.291,38.259,65.407,24.367,0.0,1.4,7,26,2018
0,26,82508.30900000001,4650.614000000001,44196.318,131355.241,41.067,19.467,3.9,0.0,2.65,12,15,2018
0,39,277493.678,24859.11,245270.688,547623.476,46.238,59.19,14.3,3.0,2.4,10,16,2018
1,12,218985.33800000002,67919.663,366366.876,653271.877,33.917,33.0,23.7,2.0,1.2,9,11,2019
1,32,176652.171,12403.132,117389.964,306445.267,29.5,37.1,18.2,0.0,5.1,4,10,2018
1,32,190105.75699999998,11929.688999999995,105165.05099999999,307200.498,29.65,36.75,8.5,0.0,2.1,2,27,2018
1,37,29415.265,8075.035,82768.48599999999,120258.785,27.25,26.75,6.7,0.0,2.5,2,2,2019
1,10,107685.995,16521.085,103041.151,227248.23100000003,38.0,20.25,14.4,8.5,3.2,4,17,2020
1,3,407525.37,50989.02099999999,289693.067,748207.458,51.2,47.971,10.033,0.0,2.5,10,30,2018
1,10,102271.491,17261.523,138207.364,257740.378,27.667,18.0,6.6,0.0,2.4,2,25,2019
1,23,141575.624,14837.298999999999,59663.477,216076.4,49.394,54.152,17.95,133.75,5.2,5,27,2019
0,30,44585.570999999996,7903.72,85041.671,137530.962,58.375,29.375,15.1,3.5,1.6,11,11,2018
0,6,81149.29,17920.301,94940.01199999999,194009.60199999998,40.882,21.765,24.8,0.0,1.5,7,23,2019
0,28,43224.75900000001,17098.896,100175.015,160498.671,56.429,37.714,9.4,0.0,1.6,11,20,2019
1,24,1232940.393,93415.582,547809.182,1874165.157,38.977,30.586,2.1,3.5,3.9,1,19,2019
0,1,284918.715,25021.767000000003,145315.24,455255.722,49.63,49.761,21.6,0.0,2.55,9,16,2019
1,17,549427.161,83047.408,195541.027,828015.5959999998,36.147,33.735,16.333,0.0,2.2,6,10,2019
1,17,526636.365,62260.883,247544.182,836441.43,37.176,30.588,-0.3670000000000001,0.0,2.95,2,6,2020
0,0,206530.88,23328.931,107204.52900000001,337064.341,44.875,31.271,14.8,0.0,1.3,10,30,2019
1,15,790147.1170000002,106865.51400000001,573862.392,1470875.023,40.037,63.778,3.3,0.0,2.333,3,14,2019
0,30,48048.246,8373.958,91922.01699999999,148344.221,56.125,33.375,15.0,0.0,1.5,11,7,2019
0,18,344216.019,45666.817,157425.068,547307.9029999999,39.476,31.0,20.7,0.0,1.3,5,30,2018
1,3,395056.78,56790.153,305086.838,756933.771,51.68600000000001,47.771,15.467,0.333,2.9330000000000003,5,11,2018
1,27,1046233.723,145219.37699999998,588196.294,1779649.394,33.031,45.125,11.2,0.0,1.8,2,14,2020
0,36,68746.872,20716.569,210986.83800000002,300450.279,47.467,48.633,3.95,0.0,3.05,1,1,2018
1,3,403682.155,33148.324,316596.512,753426.9909999998,51.94300000000001,46.371,4.4,0.0,2.067,1,21,2018
1,25,276310.42100000003,40081.605,257485.24899999998,573877.275,33.75,45.938,17.9,27.0,2.0,6,11,2018
1,2,151685.395,36278.509,193184.076,381147.98,33.125,21.0,3.4,0.0,3.5,1,21,2019
1,12,235780.665,54520.137,287765.773,578066.576,28.636,30.364,3.0,0.0,2.1,1,19,2018
1,5,705641.502,89549.704,523936.605,1319127.81,52.146,50.955,2.375,0.0,2.533,11,23,2018
0,40,367291.535,19548.735,172213.36800000002,559053.6379999999,55.647,45.294,29.167,1.0,4.8,8,15,2018
1,2,179835.77800000005,36569.692,244388.074,460793.545,34.556,34.667,26.2,0.0,1.7,7,24,2019
1,31,142464.389,10841.698999999999,93928.39199999999,247234.48,31.833,17.833,14.1,0.0,4.9,5,8,2018
1,8,64398.82,7856.746999999998,78001.891,150257.458,31.111,22.667,20.2,0.0,1.3,5,30,2019
0,39,304496.00399999996,22593.797000000002,120305.319,447395.12100000004,41.95,48.9,11.5,0.0,5.5,4,21,2020
1,35,200652.342,19135.18,141314.78699999998,361102.309,34.0,28.75,24.4,36.5,2.5,9,9,2019
1,7,1039879.046,160702.49300000002,599087.444,1799668.9819999996,38.415,38.019,3.8,0.0,0.7,11,14,2018
1,8,74777.788,4019.512,85654.06599999999,164451.366,26.44400000000001,20.778,1.7,1.5,3.0,1,28,2018
1,2,178860.89399999997,40628.303,217869.73899999997,437358.936,32.625,22.0,14.5,0.0,2.2,5,9,2019
0,36,66872.603,20676.296000000002,171451.177,259000.076,47.355,47.645,13.7,0.0,1.6,4,18,2019
0,20,110567.896,8623.756,124737.36300000001,243929.014,40.556,27.44400000000001,22.6,0.0,3.8,9,26,2019
0,22,154438.756,21649.055,125791.31199999999,301879.123,47.889,46.5,6.5,0.0,2.2,5,4,2018
1,27,1037114.183,190873.741,569225.808,1797213.7319999996,32.781,44.40600000000001,7.6,0.0,0.9,11,28,2019
1,37,28909.379,6327.4119999999975,77898.62,113135.411,28.75,24.0,9.3,0.0,3.5,4,15,2018
0,1,277076.11100000003,28657.647999999997,200908.616,506642.376,53.57100000000001,40.0,17.925,0.0,2.575,5,16,2019
0,40,399368.501,36792.065,155099.423,591259.99,54.667,50.222,20.3,0.0,2.267,6,3,2019
1,34,157840.922,16093.955,183262.18600000002,357197.06299999997,42.2,46.4,20.8,3.0,1.2,8,18,2019
0,26,85814.911,4160.376,38242.206,128217.493,40.2,22.2,18.525,41.25,1.925,7,13,2019
1,23,123331.95599999999,10870.024,102507.352,236709.331,49.429,46.0,27.8,0.25,3.2,7,31,2018
1,15,779410.328,39341.231,348874.658,1167626.217,41.037,66.148,5.733,17.833,4.133,1,26,2020
1,12,234524.234,60978.295999999995,368539.328,664041.858,27.364,34.545,27.6,0.0,1.9,8,9,2018
0,39,280312.29600000003,24854.237,230193.1,535359.6329999999,46.286,59.714,5.2,0.0,4.7,12,24,2018
0,30,44649.367999999995,6201.345,107797.16900000001,158647.883,60.0,28.25,26.7,0.0,4.5,7,22,2018
0,16,307743.19399999996,39794.837,138354.55800000002,485892.589,38.484,33.839,25.0,61.5,6.2,9,6,2019
0,30,46717.282999999996,9507.530999999999,70695.358,126920.17300000001,57.625,29.875,22.0,161.5,8.1,10,5,2018
1,31,159811.208,10639.061000000003,101311.705,271761.973,28.0,23.833,0.2,3.0,2.3,2,8,2018
1,17,581989.892,27908.769,171189.85199999998,781088.5129999998,33.731,31.077,15.9,0.0,2.9,4,1,2018
1,21,290303.466,41724.657999999996,147664.75199999998,479692.876,50.735,58.971,15.533,30.167,2.2,11,4,2019
1,7,973583.4709999999,152584.082,608418.698,1734586.251,38.902,30.275,9.9,0.0,2.4,10,16,2019
1,24,1252068.477,131476.322,477384.409,1860929.208,41.698,29.593000000000004,-3.1,0.0,1.3,2,6,2020
