시군명,상호명,소재지도로명주소,소재지지번주소,전화번호,사업장구분,사업장규모,월배출예상량(Kg),일배출예상량(Kg),처리방법구분,위탁업소명,위도,경도,데이터기준일자,비고
가평군,(주)월드환경,,,,음식점,1016.29,2000,67,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,(주)이과전문학원 펜타스,,,031-585-3379,집단급식소,450,2300,77,위탁재활용,신호환경,,,2021-06-28,
가평군,(주)이랜드파크 켄싱턴리조트 청평,,,031-584-9380,호텔·콘도,176,2400,80,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,(주)청심평화월드센타,,,,집단급식소,100,900,30,위탁재활용,(주)클리앤제로,,,2021-06-28,
가평군,(주)청평비타에류학원,,,,집단급식소,960,3600,120,위탁재활용,개인농가,,,2021-06-28,
가평군,(주)카페코나?즈 청평점,,,070-7721-0005,음식점,1015,900,30,위탁재활용,(주)클린앤제로,,,2021-06-28,
가평군,(주)클럽피쉬,,,,음식점,198.34,1316,44,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,(주)평산투자개발 (직원식당),,,,음식점,489.9,420,14,위탁재활용,(주)풍년환경,,,2021-06-28,
가평군,(주)평산투자개발(대식당),,,,음식점,237.23,1440,48,위탁재활용,(주)풍년환경,,,2021-06-28,
가평군,(주)혜성,,,,음식점,225.43,800,27,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,(주)호명청평산장호텔,,,031-584-0351,호텔·콘도,33,80,3,위탁재활용,개인농가,,,2021-06-28,
가평군,CJ 프레시웨이(주),,,031-589-2042,음식점,714.7,2000,67,위탁재활용,오존환경(주),,,2021-06-28,
가평군,가나안농원,,,031-585-5293,음식점,390,90,3,위탁재활용,개인농가,,,2021-06-28,
가평군,가원생고기,,,,음식점,269.57,800,27,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,가족회관,,,,음식점,383,180,6,위탁재활용,선풍산업,,,2021-06-28,
가평군,가평고등학교,,,031-580-7052,집단급식소,350,6000,200,위탁재활용,(주)풍년환경,,,2021-06-28,
가평군,가평군 농업협동조합 장례문화센터,,,,음식점,502.2,800,27,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,가평군청,,,,집단급식소,140,85,3,위탁재활용,허숙희,,,2021-06-28,
가평군,가평군청 집단급식소,,,,집단급식소,140,600,20,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,가평군청직장금고,,,031-580-4919,집단급식소,200,380,13,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,가평농협구내식당,,,031-581-9999,음식점,311,150,5,위탁재활용,선풍산업,,,2021-06-28,
가평군,가평마장초등학교,,,031-581-2755,집단급식소,200,30,1,위탁재활용,농가,,,2021-06-28,
가평군,가평마장초등학교,,,031-581-2755,집단급식소,200,30,1,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,가평산속요양병원,,,,집단급식소,110,2400,80,위탁재활용,양주산업,,,2021-06-28,
가평군,가평상면초등학교,,,031-584-2927,집단급식소,120,600,20,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,가평상면초등학교,,,031-584-2927,집단급식소,120,600,20,위탁재활용,선풍산업,,,2021-06-28,
가평군,가평설악고등학교,,,031-584-7778,집단급식소,470,1200,40,위탁재활용,(주)풍년환경,,,2021-06-28,
가평군,가평설악고등학교,,,031-584-7778,집단급식소,470,1200,40,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,가평수련원,,,031-585-6001,집단급식소,200,300,10,위탁재활용,개인농가,,,2021-06-28,
가평군,가평중학교,,,031-582-8387,집단급식소,750,1050,35,위탁재활용,(주)풍년환경,,,2021-06-28,
가평군,가평중학교,,,031-582-8387,집단급식소,750,1050,35,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,가평초등학교,,,031-582-2493,집단급식소,1500,668,22,위탁재활용,(주)풍년환경,,,2021-06-28,
가평군,가평축협  한우명가 청평지점,,,031-584-4200,음식점,335,820,27,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,가평축협  한우명가 청평지점,,,031-584-4200,음식점,335,820,27,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,가평축협 한우명가,,,031-581-1594,음식점,838.53,22800,760,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,가평축협 한우명가,,,031-581-1594,음식점,838.53,22800,760,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,가평축협 한우명가,,,031-581-1592,음식점,609.95,2500,83,위탁재활용,(주)풍년환경,,,2021-06-28,
가평군,가평축협 한우명가 상하지점,,,,음식점,335,933,31,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,가평축협 한우명가 상하지점,,,,음식점,335,933,31,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,가평축협 한우명가(설악지점),,,,음식점,297.52,566,19,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,가평축협 한우명가(설악지점),,,,음식점,297.52,566,19,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,가평푸른숲요양병원,,,,집단급식소,200,1000,33,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,감나무집,,,031-584-0011,음식점,307,800,27,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,강남교회(강남금식기도원),,,031-584-1001,집단급식소,300,300,10,위탁재활용,환희농산,,,2021-06-28,
가평군,강남교회(강남금식기도원),,,031-584-1001,집단급식소,300,300,10,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,고원,,,031-584-3585,음식점,281,600,20,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,고향숯불갈비,,,031-584-6004,음식점,211,400,13,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,고향숯불갈비,,,031-584-6004,음식점,211,400,13,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,궁,,,,음식점,207.36,150,5,위탁재활용,선풍산업,,,2021-06-28,
가평군,금강막국수,,,,음식점,298.9,15,1,위탁재활용,개인,,,2021-06-28,
가평군,금문,,,031-581-9282,음식점,555.32,1200,40,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,금문식당,,,031-581-9282,음식점,500,900,30,위탁재활용,풍년환경,,,2021-06-28,
가평군,기사식당,,,,음식점,200.38,1050,35,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,기와집전주장작불곰탕,,,,음식점,292.08,900,30,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,기와집전주장작불곰탕,,,,음식점,292.08,900,30,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,남이섬경양식,,,031-582-9117,음식점,212.05,30,1,위탁재활용,,,,2021-06-28,
가평군,남이옥,,,,음식점,295.36,958,32,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,남이옥,,,,음식점,295.36,958,32,위탁재활용,세인농장,,,2021-06-28,
가평군,네자매 평강,,,,음식점,378.51,500,17,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,닥터차이,,,,음식점,225.9,500,17,위탁재활용,선풍산업,,,2021-06-28,
가평군,닥터차이,,,,음식점,225.9,875,29,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,대성초등학교,,,,집단급식소,150,120,4,위탁재활용,개인농가,,,2021-06-28,
가평군,대성초등학교,,,,집단급식소,150,120,4,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,더뷰,,,,음식점,237.76,90,3,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,돈카츠 모리,,,,음식점,211.73,240,8,위탁재활용,환희농산,,,2021-06-28,
가평군,두메산골식당,,,031-584-9380,음식점,624,1680,56,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,드림아일랜드수련원(주)하나레져,,,031-581-7708,집단급식소,90,300,10,위탁재활용,농가,,,2021-06-28,
가평군,디오니소스,,,031-589-5660,음식점,380.95,60,2,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,루안,,,,음식점,300,900,30,위탁재활용,환희농산,,,2021-06-28,
가평군,르메이에르스타플러스(주),,,031-585-6793,음식점,100,60,2,위탁재활용,산골농장,,,2021-06-28,
가평군,리앤리클럽하우스레스토랑,,,031-580-9074,음식점,1066.71,1795,60,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,리앤리클럽하우스레스토랑,,,031-580-9074,음식점,1066.71,1795,60,위탁재활용,세인농장,,,2021-06-28,
가평군,리앤리클럽하우스식당,,,,음식점,143.33,516,17,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,리앤리클럽하우스식당,,,,음식점,143.33,516,17,위탁재활용,오존환경(주),,,2021-06-28,
가평군,마이다스밸리골프클럽하우스대식당,,,02-3011-9530,음식점,405.25,2400,80,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,마이다스밸리골프클럽하우스식당,,,,음식점,312.5,1800,60,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,마이다스호텔앤리조트,,,031-589-5660,음식점,3572.3,540,18,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,목동초등학교,,,031-581-0612,집단급식소,300,400,13,위탁재활용,(주)에코누리,,,2021-06-28,
가평군,목동초등학교,,,031-581-0612,집단급식소,300,400,13,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,미리내라이브카페,,,,음식점,662.6,60,2,위탁재활용,(주)선풍산업,,,2021-06-28,
가평군,미원초등학교,,,031-584-0357,집단급식소,490,130,4,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,미원초등학교,,,031-584-0357,집단급식소,490,130,4,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,방일초등학교,,,031-584-7214,집단급식소,113,60,2,위탁재활용,농가,,,2021-06-28,
가평군,방일초등학교,,,031-584-7214,집단급식소,113,60,2,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,배맛숯불갈비,,,031-585-9902,음식점,211.82,150,5,위탁재활용,현리보신탕,,,2021-06-28,
가평군,사철본가,,,,음식점,261.98,30,1,위탁재활용,농업,,,2021-06-28,
가평군,삼성물산(주) 가평베네스트 골프클럽,,,,음식점,229,600,20,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,삼성웰스토리(주)교원가평,,,031-585-6114,음식점,779,4500,150,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,삼성웰스토리(주)베뉴지CC,,,,음식점,1372.83,2200,73,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,상천초등학교,,,031-585-3418,집단급식소,125,35,1,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,상천초등학교,,,031-585-3418,집단급식소,125,35,1,위탁재활용,농가,,,2021-06-28,
가평군,서울시학생교육원(가평영어교육원),,,031-581-9771,집단급식소,100,200,7,위탁재활용,엘그린,,,2021-06-28,
가평군,서울특별시교육청학생교육원축령산야영교육장,,,031-585-8404,집단급식소,100,800,27,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,서울특별시학생교육원(대성리교육원),,,,집단급식소,100,2227,74,위탁재활용,광주환경(주),,,2021-06-28,
가평군,서호식당,,,031-584-0446,음식점,660,958,32,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,서호식당,,,031-584-0446,음식점,660,958,32,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,서호식당,,,031-584-0446,음식점,102,600,20,위탁재활용,(주)풍년환경,,,2021-06-28,
가평군,선학유피대학원대학교,,,,집단급식소,100,1000,33,위탁재활용,(주)클린앤제로,,,2021-06-28,
가평군,세계기독교통일신령협회 천원교회,,,031-589-1000,집단급식소,100,900,30,위탁재활용,(주)클린앤제로,,,2021-06-28,
가평군,소문난 닭갈비,,,031-585-9004,음식점,240.74,1200,40,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,소문난 닭갈비,,,031-585-9004,음식점,240.74,1200,40,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,소양강민물매운탕,,,031-584-5561,음식점,236.8,45,2,위탁재활용,선풍산업,,,2021-06-28,
가평군,송원,,,031-585-5571,음식점,261.7,900,30,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,송원,,,031-585-5571,음식점,261.7,900,30,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,수림,,,031-584-0110,음식점,341.28,246,8,위탁재활용,농가,,,2021-06-28,
가평군,싱싱횟집,,,031-584-0272,음식점,201.71,100,3,위탁재활용,현리보신탕,,,2021-06-28,
가평군,씨제이프레시웨이,,,031-589-2040,음식점,224,1500,50,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,아난티클럽 스타트 하우스식당,,,,음식점,330,600,20,위탁재활용,선풍산업(주),,,2021-06-28,
가평군,아난티클럽 클럽하우스식당,,,,음식점,1140,2400,80,위탁재활용,선풍산업(주),,,2021-06-28,
가평군,아난티펜트하우스서울,,,031-580-3353,집단급식소,100,3000,100,위탁재활용,(주)클린앤제로,,,2021-06-28,
가평군,아리수가든,,,031-585-6660,음식점,253,90,3,위탁재활용,농가,,,2021-06-28,
가평군,안심가든,,,031-581-6655,음식점,332.37,500,17,위탁재활용,(주)풍년환경,,,2021-06-28,
가평군,양평해장국,,,031-584-6656,음식점,213.72,800,27,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,에덴식당,,,031-581-0205,음식점,297.04,2400,80,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,에덴유스호스텔 비너스,,,031-585-7020,음식점,415,3,0,위탁재활용,애견사육장,,,2021-06-28,
가평군,엘본에프엔비(주)(효정설렁탕),,,031-585-2623,음식점,351,500,17,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,엘본에프엔비(주)(효정연),,,,음식점,513,500,17,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,연하초등학교,,,031-585-2083,집단급식소,115,400,13,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,옛골,,,031-584-5323,음식점,280.22,1500,50,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,옛골,,,031-585-1818,음식점,280.22,800,27,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,오륜비전빌리지,,,,집단급식소,200,600,20,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,와이드,,,,음식점,211.62,600,20,위탁재활용,환희농산,,,2021-06-28,
가평군,원조장작불곰탕,,,031-584-0751,음식점,261.84,600,20,위탁재활용,개인농가,,,2021-06-28,
가평군,원조전주장작불곰탕,,,,음식점,292.08,900,30,위탁재활용,(주)에코누리,,,2021-06-28,
가평군,유명산벨리,,,031-585-7634,음식점,273.8,30,1,위탁재활용,(주)풍년환경,,,2021-06-28,
가평군,유스토리청소년수련원,,,031-582-6781,집단급식소,428,691,23,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,유스토리청소년수련원,,,031-582-6781,집단급식소,428,691,23,위탁재활용,세인농장,,,2021-06-28,
가평군,유스토리청소년수련원,,,031-582-6781,집단급식소,428,691,23,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,율길초등학교,,,031-585-0588,집단급식소,100,150,5,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,이씨엠디 가평휴게소(통합),,,031-584-1426,음식점,6611.67,15000,500,위탁재활용,효자원농원,,,2021-06-28,
가평군,이조소머리,,,031-584-9644,음식점,249,500,17,위탁재활용,선풍산업,,,2021-06-28,
가평군,일조,,,031-582-3368,음식점,35,105,4,위탁재활용,농가,,,2021-06-28,
가평군,잔치회관,,,031-585-0141,음식점,214.14,10,0,위탁재활용,이창진,,,2021-06-28,
가평군,장미식당,,,031-582-7173,음식점,546.72,60,2,위탁재활용,(주)선풍산업,,,2021-06-28,
가평군,장원닭갈비,,,,음식점,264.46,833,28,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,전주식당,,,,음식점,246.44,45,2,위탁재활용,개인농가,,,2021-06-28,
가평군,전주장작불곰탕,,,031-584-5874,음식점,207.9,300,10,위탁재활용,개인,,,2021-06-28,
가평군,정가금문닭갈비,,,,음식점,555.32,800,27,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,제일에프앤비(가평지점),,,,음식점,206.22,1080,36,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,제일에프앤비(주)가평지점,,,031-584-4511,집단급식소,500,12000,400,위탁재활용,효자원농장,,,2021-06-28,
가평군,제일에프엔비(주) 한샘학원,,,,음식점,260,3600,120,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,조종고등학교,,,031-585-0282,집단급식소,700,1100,37,위탁재활용,개인,,,2021-06-28,
가평군,조종초등학교,,,,집단급식소,860,800,27,위탁재활용,(주)에코누리,,,2021-06-28,
가평군,조종초등학교,,,,집단급식소,860,800,27,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,주식회사 꿈의 동산,,,031-585-0025,음식점,216,850,28,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,주식회사 평화월드센터,,,,집단급식소,100,900,30,위탁재활용,(주)클린앤제로,,,2021-06-28,
가평군,주원오리,,,,음식점,461.6,800,27,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,중국성,,,,음식점,199,2100,70,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,중국성,,,,음식점,199,2100,70,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,중국성(청평숫불갈비),,,,음식점,458.82,1000,33,위탁재활용,환희농산,,,2021-06-28,
가평군,진주회관,,,031-585-0141,음식점,729,80,3,위탁재활용,농가,,,2021-06-28,
가평군,착한낙지,,,031-584-5616,음식점,320,450,15,위탁재활용,고은빛팬션,,,2021-06-28,
가평군,창대생고기,,,031-585-2555,음식점,70,300,10,위탁재활용,손기창(개인),,,2021-06-28,
가평군,청기와 한식당,,,031-581-3382,음식점,271.68,600,20,위탁재활용,(주)선풍산업,,,2021-06-28,
가평군,청심교회,,,031-589-7160,집단급식소,250,1750,58,위탁재활용,(주)에코누리,,,2021-06-28,
가평군,청심교회,,,031-589-7160,집단급식소,200,1200,40,위탁재활용,(주)클린앤제로,,,2021-06-28,
가평군,청심국제 청소년수련원,,,031-589-1753,집단급식소,300,1500,50,위탁재활용,(주)클린앤제로,,,2021-06-28,
가평군,청심국제병원,,,031-589-4531,집단급식소,480,6700,223,위탁재활용,(주)이피에스솔루션,,,2021-06-28,
가평군,청심국제중고등학교,,,031-589-8979,집단급식소,1950,5000,167,위탁재활용,(주)클린앤제로,,,2021-06-28,
가평군,청심유치원,,,031-589-9966,집단급식소,100,600,20,위탁재활용,(주)클린앤제로,,,2021-06-28,
가평군,청평고등학교,,,031-584-6369,집단급식소,320,800,27,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,청평고등학교,,,031-584-6369,집단급식소,320,800,27,위탁재활용,(주)풍년환경,,,2021-06-28,
가평군,청평나루(웨딩홀),,,031-584-3067,음식점,642.02,1000,33,위탁재활용,(주)에코누리,,,2021-06-28,
가평군,청평나루(웨딩홀),,,031-584-3067,음식점,1270,1200,40,위탁재활용,(주)선풍산업,,,2021-06-28,
가평군,청평수련원(청심교회),,,031-589-7161,집단급식소,220,2000,67,위탁재활용,선풍산업,,,2021-06-28,
가평군,청평우리병원,,,031-585-5115,집단급식소,250,4200,140,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,청평중학교,,,031-585-4443,집단급식소,450,300,10,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,청평중학교,,,031-585-4443,집단급식소,450,300,10,위탁재활용,(주)풍년환경,,,2021-06-28,
가평군,청평초등학교,,,031-584-0248,집단급식소,830,734,24,위탁재활용,개인농가,,,2021-06-28,
가평군,청평초등학교,,,031-584-0248,집단급식소,830,734,24,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,청평타워,,,031-584-0750,음식점,398,150,5,위탁재활용,개인농장,,,2021-06-28,
가평군,축령산 한우마을,,,,음식점,660,1500,50,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,칠오닭갈비,,,031-585-7579,음식점,249,1200,40,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,카페노불레스,,,,음식점,218.19,10,0,위탁재활용,선풍산업,,,2021-06-28,
가평군,캐스트카페테리아(삼성),,,031-589-8202,음식점,252.6,4000,133,위탁재활용,예성자원(주),,,2021-06-28,
가평군,큰가마설농탕,,,031-585-4455,음식점,236,720,24,위탁재활용,오존환경(주),,,2021-06-28,
가평군,큰가마설농탕,,,031-585-4455,음식점,236,720,24,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,큰가마설농탕,,,031-585-4455,음식점,236,720,24,위탁재활용,오존환경(주),,,2021-06-28,
가평군,큰가마설농탕,,,031-585-4455,음식점,236,720,24,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,클럽노블픽,,,,음식점,460,800,27,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,통나무집,,,031-582-1411,음식점,376.3,958,32,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,통나무집,,,031-582-1411,음식점,376.3,958,32,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,평강막국수,,,031-585-1898,음식점,165,600,20,위탁재활용,(주)풍년환경,,,2021-06-28,
가평군,평강막국수,,,,음식점,165,800,27,위탁재활용,(주)에코누리,,,2021-06-28,
가평군,푸디스트 주식회사 가평 비전센터점,,,,집단급식소,904.59,2000,67,위탁재활용,(주)신환경,,,2021-06-28,
가평군,푸디스트 주식회사 현등사점,,,031-589-2937,집단급식소,904.59,2000,67,위탁재활용,(주)신환경,,,2021-06-28,
가평군,푸주옥,,,031-584-8868,음식점,202.48,90,3,위탁재활용,(주)선풍산업,,,2021-06-28,
가평군,풍년회관,,,031-585-0079,음식점,323.02,1095,37,위탁재활용,농가,,,2021-06-28,
가평군,풍림산업(주)청평지점,,,031-584-9380,음식점,312,800,27,위탁재활용,환회농산,,,2021-06-28,
가평군,프리스틴밸리 클럽하우스 식당,,,031-589-2040,음식점,489.9,350,12,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,프리스틴밸리클럽하우스 1층식당,,,031-589-2040,음식점,224.8,150,5,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,피쉬앤 그릴,,,,음식점,244.44,150,5,위탁재활용,장간란,,,2021-06-28,
가평군,하면 농협구내식당,,,,음식점,452,200,7,위탁재활용,개인농가,,,2021-06-28,
가평군,한양식당,,,,음식점,312.18,720,24,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,한울푸드,,,031-581-7030,음식점,324,1800,60,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,한촌설렁탕,,,031-584-5988,음식점,231.4,800,27,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,한촌설렁탕,,,031-584-5988,음식점,231.4,800,27,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,해물낙지전복철판,,,031-584-8765,음식점,273.4,750,25,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,해물낙지전복철판,,,031-584-8765,음식점,273.4,750,25,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,행복식당,,,,음식점,327,120,4,위탁재활용,선풍산업,,,2021-06-28,
가평군,현대건설(구내식당),,,031-584-9969,음식점,400,900,30,위탁재활용,농가,,,2021-06-28,
가평군,현대백화점그룹 인재개발원,,,,집단급식소,128,1320,44,위탁재활용,(주)월드환경,,,2021-06-28,
가평군,현대웨딩홀,,,031-581-7877,음식점,330,20,1,위탁재활용,개인농가,,,2021-06-28,
고양시,(재)케이티그룹 희망나눔재단고양,,,,집단급식소,500,,,위탁재활용,,,,2021-06-25,
고양시,(주)네이처푸드컴퍼니(고양지청),,,,집단급식소,100,,,위탁재활용,,,,2021-06-25,
고양시,(주)녹색광선,,,,음식점,231,,,위탁재활용,,,,2021-06-25,
고양시,(주)더테이블브루잉컴퍼니,,,,음식점,369.5,,,위탁재활용,,,,2021-06-25,
고양시,(주)두리에프앤비 큰바다해물아구찜 설문직영점,,,,음식점,361.88,,,위탁재활용,,,,2021-06-25,
고양시,(주)루트로닉,,,,집단급식소,160,,,위탁재활용,,,,2021-06-25,
고양시,(주)매일일산웨스턴돔점(라라코스트),,,,음식점,607,,,위탁재활용,,,,2021-06-25,
고양시,(주)먹쇠,,,,음식점,384,,,위탁재활용,,,,2021-06-25,
고양시,(주)명준푸드(설빙 웨스턴돔점),,,,음식점,299.73,,,위탁재활용,,,,2021-06-25,
고양시,(주)미덕원,,,,음식점,519.39,,,위탁재활용,,,,2021-06-25,
고양시,(주)분다 스시히로바 일산점,,,,음식점,515,,,위탁재활용,,,,2021-06-25,
고양시,(주)비케이알 일산호수공원점,,,,음식점,268.4,,,위탁재활용,,,,2021-06-25,
고양시,(주)비케이알(고양터미널점),,,,음식점,247.19,,,위탁재활용,,,,2021-06-25,
고양시,(주)비케이알[버거킹일산화정오일뱅크점],,,,음식점,332.93,,,위탁재활용,,,,2021-06-25,
고양시,(주)사랑과 선행,,,,집단급식소,200,,,위탁재활용,,,,2021-06-25,
고양시,(주)소메르,,,,음식점,1235.05,,,위탁재활용,,,,2021-06-25,
고양시,(주)수현 갈비예찬 삼송점,,,,음식점,451.3,,,위탁재활용,,,,2021-06-25,
고양시,(주)슈거마틴,,,,음식점,435.34,,,위탁재활용,,,,2021-06-25,
고양시,(주)스시메이진 탄현,,,,음식점,471.82,,,위탁재활용,,,,2021-06-25,
고양시,(주)식객촌 동국대일산병원점,,,,음식점,567,,,위탁재활용,,,,2021-06-25,
고양시,(주)신세계푸드 스타필드고양쇼핑몰,,,,집단급식소,1000,,,위탁재활용,,,,2021-06-25,
고양시,(주)신세계푸드((주)엔에이치인재원),,,,집단급식소,100,,,위탁재활용,,,,2021-06-25,
고양시,(주)신세계푸드노브랜드버거일산라페스타점,,,,음식점,264,,,위탁재활용,,,,2021-06-25,
고양시,(주)아워홈 SBS탄현점,,,,집단급식소,220,,,위탁재활용,,,,2021-06-25,
고양시,(주)아워홈 다스람요양병원일산점,,,,집단급식소,260,,,위탁재활용,,,,2021-06-25,
고양시,(주)아워홈 동양인재개발원 고양점,,,,집단급식소,500,,,자가처리,,,,2021-06-25,
고양시,(주)아워홈 사법연수원 고양점,,,,집단급식소,200,,,위탁재활용,,,,2021-06-25,
