배출년도,배출월,배출일,시군구명,배출량비율(%),배출횟수,배출횟수비율(%),세대수,남성인구,여성인구,외국인인구,배출량(kg)
2018,4,5,포천시,2.39,2598,2.52,69028.0,80120,72190,12189,4617.8
2018,4,5,평택시,2.23,2606,2.34,208004.0,249525,237215,21774,4799.9
2018,4,5,파주시,2.55,10659,2.6,182723.0,224181,217436,10667,19169.9
2018,4,5,이천시,2.22,4364,2.32,87948.0,109076,104172,6854,9383.95
2018,4,5,의정부시,2.35,1444,2.35,181130.0,218426,224539,4365,2484.55
2018,4,5,의왕시,2.22,2754,2.43,58910.0,77281,77398,1168,14200.8
2018,4,5,용인시,2.49,42629,2.61,375809.0,501515,508308,17344,72912.7
2018,4,5,오산시,2.42,9348,2.46,87464.0,111495,105260,8769,17194.55
2018,4,5,여주시,2.34,1370,2.42,49146.0,56634,55264,3427,2940.7
2018,4,5,양주시,2.49,6087,2.57,85917.0,107686,104590,7107,10587.95
2018,4,5,안양시,2.22,445,2.19,222604.0,289388,293752,7192,810.45
2018,4,5,수원시영통구,2.44,19520,2.56,39379.0,605162,596617,0,31622.1
2018,4,5,수원시장안구,2.62,11292,2.75,487028.0,605162,596617,39379,18846.95
2018,4,5,수원시팔달구,2.34,5006,2.48,39379.0,605162,596617,0,7826.3
2018,4,5,수원시권선구,2.42,14452,2.46,39379.0,605162,596617,0,24809.15
2018,4,5,성남시분당구,2.51,219,2.54,17368.0,477730,486670,0,321.35
2018,4,5,성남시중원구,2.19,63,2.36,17368.0,477730,486670,0,90.6
2018,4,5,부천시,2.57,4711,2.62,337968.0,424548,427041,22351,8243.5
2018,4,5,동두천시,2.32,2683,2.37,42568.0,48276,48645,3255,4763.85
2018,4,5,남양주시,2.48,3234,2.53,259020.0,335970,337271,6785,5753.1
2018,4,5,군포시,2.27,2335,2.4,107022.0,138890,140744,6864,3656.05
2018,4,5,구리시,1.17,4740,2.63,77715.0,99260,100810,1403,7448.6
2018,4,5,광주시,3.47,288,3.15,143127.0,180189,171305,12398,15558.55
2018,4,5,고양시,3.18,379,3.56,411178.0,511210,530541,12401,413.0
2018,4,6,화성시,2.96,34601,3.03,283903.0,373610,348610,37023,67554.04
2018,4,6,포천시,3.05,3310,3.22,69028.0,80120,72190,12189,5876.95
2018,4,6,평택시,3.12,3515,3.15,208004.0,249525,237215,21774,6693.05
2018,4,6,파주시,3.14,13190,3.22,182723.0,224181,217436,10667,23556.75
2018,4,6,이천시,3.06,6010,3.19,87948.0,109076,104172,6854,12929.5
2018,4,6,의정부시,1.73,1043,1.7,181130.0,218426,224539,4365,1830.6
2018,4,6,의왕시,3.28,2911,2.57,58910.0,77281,77398,1168,20957.0
2018,4,6,용인시,2.94,49636,3.03,375809.0,501515,508308,17344,86114.65
2018,4,6,오산시,2.95,11625,3.06,87464.0,111495,105260,8769,20899.75
2018,4,6,여주시,3.12,1779,3.15,49146.0,56634,55264,3427,3930.25
2018,4,6,양주시,3.17,7682,3.24,85917.0,107686,104590,7107,13467.5
2018,4,6,안양시,3.24,646,3.18,222604.0,289388,293752,7192,1182.85
2018,4,6,수원시장안구,2.88,12340,3.01,487028.0,605162,596617,39379,20736.45
2018,4,6,수원시팔달구,2.98,6296,3.12,39379.0,605162,596617,0,9958.55
2018,4,6,수원시권선구,2.87,17470,2.97,39379.0,605162,596617,0,29355.2
2018,4,6,수원시영통구,2.86,22698,2.97,39379.0,605162,596617,0,36972.35
2018,4,6,성남시분당구,3.05,265,3.08,17368.0,477730,486670,0,390.4
2018,4,6,성남시중원구,2.68,74,2.78,17368.0,477730,486670,0,110.9
2018,4,6,부천시,3.03,5581,3.1,337968.0,424548,427041,22351,9721.9
2018,4,6,동두천시,3.15,3614,3.19,42568.0,48276,48645,3255,6465.05
2018,4,6,남양주시,3.15,4041,3.16,259020.0,335970,337271,6785,7298.9
2018,4,6,군포시,2.95,2979,3.06,107022.0,138890,140744,6864,4756.3
2018,4,6,구리시,1.43,5592,3.1,77715.0,99260,100810,1403,9148.05
2018,4,6,광주시,3.01,263,2.88,143127.0,180189,171305,12398,13460.85
2018,4,6,고양시,2.89,309,2.91,411178.0,511210,530541,12401,375.0
2018,4,7,화성시,2.96,32270,2.83,283903.0,373610,348610,37023,67646.35
2018,4,7,포천시,3.28,3174,3.08,69028.0,80120,72190,12189,6332.7
2018,4,7,평택시,3.02,3271,2.93,208004.0,249525,237215,21774,6483.8
2018,4,7,파주시,2.99,12064,2.95,182723.0,224181,217436,10667,22427.15
2018,4,7,이천시,3.02,5525,2.93,87948.0,109076,104172,6854,12733.2
2018,4,7,의정부시,1.74,1034,1.68,181130.0,218426,224539,4365,1839.7
2018,4,7,의왕시,2.5,2690,2.38,58910.0,77281,77398,1168,15953.55
2018,4,7,용인시,3.02,47287,2.89,375809.0,501515,508308,17344,88518.7
2018,4,7,오산시,3.0,10958,2.89,87464.0,111495,105260,8769,21256.95
2018,4,7,여주시,3.17,1738,3.07,49146.0,56634,55264,3427,3995.6
2018,4,7,양주시,3.04,7139,3.01,85917.0,107686,104590,7107,12917.9
2018,4,7,안양시,3.61,696,3.42,222604.0,289388,293752,7192,1317.55
2018,4,7,수원시팔달구,3.11,5917,2.94,39379.0,605162,596617,0,10385.7
2018,4,7,수원시권선구,2.98,16659,2.83,39379.0,605162,596617,0,30502.35
2018,4,7,수원시장안구,2.91,11648,2.84,487028.0,605162,596617,39379,20972.7
2018,4,7,수원시영통구,3.05,22386,2.93,39379.0,605162,596617,0,39491.55
2018,4,7,성남시분당구,3.08,255,2.96,17368.0,477730,486670,0,393.4
2018,4,7,성남시중원구,3.45,90,3.38,17368.0,477730,486670,0,142.9
2018,4,7,부천시,3.05,5319,2.96,337968.0,424548,427041,22351,9786.35
2018,4,7,동두천시,3.17,3486,3.08,42568.0,48276,48645,3255,6513.9
2018,4,7,남양주시,2.91,3623,2.84,259020.0,335970,337271,6785,6751.45
2018,4,7,군포시,2.91,2824,2.9,107022.0,138890,140744,6864,4683.45
2018,4,7,구리시,2.33,5060,2.8,77715.0,99260,100810,1403,14849.85
2018,4,7,광주시,3.19,256,2.8,143127.0,180189,171305,12398,14268.85
2018,4,7,고양시,3.18,328,3.08,411178.0,511210,530541,12401,412.0
2018,4,8,화성시,4.28,45155,3.95,283903.0,373610,348610,37023,97866.09
2018,4,8,포천시,3.37,3142,3.05,69028.0,80120,72190,12189,6496.45
2018,4,8,평택시,4.16,4159,3.73,208004.0,249525,237215,21774,8927.35
2018,4,8,파주시,3.43,12692,3.1,182723.0,224181,217436,10667,25760.1
2018,4,8,이천시,3.81,6749,3.58,87948.0,109076,104172,6854,16058.85
2018,4,8,의정부시,2.12,1078,1.75,181130.0,218426,224539,4365,2234.7
2018,4,8,의왕시,0.85,3025,2.67,58910.0,77281,77398,1168,5413.3
2018,4,8,용인시,3.87,58253,3.56,375809.0,501515,508308,17344,113236.8
2018,4,8,오산시,4.31,14946,3.94,87464.0,111495,105260,8769,30557.1
2018,4,8,여주시,3.92,2077,3.67,49146.0,56634,55264,3427,4931.75
2018,4,8,양주시,3.52,7529,3.18,85917.0,107686,104590,7107,14937.8
2018,4,8,안양시,5.19,998,4.91,222604.0,289388,293752,7192,1893.5
2018,4,8,수원시영통구,3.93,27386,3.59,39379.0,605162,596617,0,50919.05
2018,4,8,수원시팔달구,3.82,6847,3.4,39379.0,605162,596617,0,12742.15
2018,4,8,수원시권선구,4.13,22375,3.8,39379.0,605162,596617,0,42293.5
2018,4,8,수원시장안구,4.08,15261,3.72,487028.0,605162,596617,39379,29323.6
2018,4,8,성남시분당구,3.26,258,3.0,17368.0,477730,486670,0,416.95
2018,4,8,성남시중원구,3.45,90,3.38,17368.0,477730,486670,0,142.95
2018,4,8,부천시,3.9,6515,3.62,337968.0,424548,427041,22351,12495.0
2018,4,8,동두천시,3.45,3464,3.06,42568.0,48276,48645,3255,7094.6
2018,4,8,남양주시,3.72,4415,3.46,259020.0,335970,337271,6785,8626.15
2018,4,8,군포시,3.83,3370,3.46,107022.0,138890,140744,6864,6165.3
2018,4,8,구리시,1.66,5735,3.18,77715.0,99260,100810,1403,10594.35
2018,4,8,광주시,0.06,142,1.55,143127.0,180189,171305,12398,249.0
2018,4,8,고양시,3.49,339,3.19,411178.0,511210,530541,12401,452.15
2018,4,9,화성시,3.82,41855,3.67,283903.0,373610,348610,37023,87158.29
2018,4,9,포천시,3.95,3890,3.78,69028.0,80120,72190,12189,7616.0
2018,4,9,평택시,3.95,4129,3.7,208004.0,249525,237215,21774,8480.8
2018,4,9,파주시,3.93,15372,3.75,182723.0,224181,217436,10667,29495.95
2018,4,9,이천시,3.79,6921,3.68,87948.0,109076,104172,6854,15973.55
2018,4,9,의정부시,3.73,2168,3.52,181130.0,218426,224539,4365,3936.9
2018,4,9,의왕시,5.66,4016,3.55,58910.0,77281,77398,1168,36129.85
2018,4,9,용인시,3.87,60888,3.72,375809.0,501515,508308,17344,113420.05
2018,4,9,오산시,3.63,13475,3.55,87464.0,111495,105260,8769,25776.55
2018,4,9,여주시,3.9,2110,3.73,49146.0,56634,55264,3427,4914.5
2018,4,9,양주시,3.94,8991,3.8,85917.0,107686,104590,7107,16728.6
2018,4,9,안양시,3.09,651,3.2,222604.0,289388,293752,7192,1126.15
2018,4,9,수원시팔달구,4.06,7836,3.89,39379.0,605162,596617,0,13537.95
2018,4,9,수원시장안구,3.75,14862,3.62,487028.0,605162,596617,39379,26977.5
2018,4,9,수원시영통구,4.03,29431,3.86,39379.0,605162,596617,0,52206.15
2018,4,9,수원시권선구,3.74,20906,3.55,39379.0,605162,596617,0,38320.0
2018,4,9,성남시분당구,4.07,344,4.0,17368.0,477730,486670,0,520.4
2018,4,9,성남시중원구,4.06,96,3.6,17368.0,477730,486670,0,167.85
2018,4,9,부천시,3.84,6658,3.7,337968.0,424548,427041,22351,12301.7
2018,4,9,동두천시,4.01,4367,3.86,42568.0,48276,48645,3255,8229.75
2018,4,9,남양주시,3.84,4590,3.59,259020.0,335970,337271,6785,8889.6
2018,4,9,군포시,3.76,3517,3.61,107022.0,138890,140744,6864,6061.65
2018,4,9,구리시,5.6,7000,3.88,77715.0,99260,100810,1403,35701.25
2018,4,9,광주시,5.87,432,4.72,143127.0,180189,171305,12398,26298.7
2018,4,9,고양시,3.65,374,3.52,411178.0,511210,530541,12401,473.3
2018,4,10,화성시,2.99,34731,3.04,283903.0,373610,348610,37023,68240.1
2018,4,10,포천시,2.9,2952,2.87,69028.0,80120,72190,12189,5595.2
2018,4,10,평택시,2.93,3474,3.11,208004.0,249525,237215,21774,6283.0
2018,4,10,파주시,2.94,12218,2.98,182723.0,224181,217436,10667,22119.65
2018,4,10,이천시,3.06,5894,3.13,87948.0,109076,104172,6854,12891.7
2018,4,10,의정부시,3.05,1843,3.0,181130.0,218426,224539,4365,3217.85
2018,4,10,의왕시,3.13,3682,3.25,58910.0,77281,77398,1168,19990.95
2018,4,10,용인시,3.11,51953,3.18,375809.0,501515,508308,17344,91078.15
2018,4,10,오산시,3.01,11750,3.1,87464.0,111495,105260,8769,21387.15
2018,4,10,여주시,3.01,1743,3.08,49146.0,56634,55264,3427,3785.4
2018,4,10,양주시,2.87,6894,2.91,85917.0,107686,104590,7107,12213.85
2018,4,10,안양시,2.77,579,2.85,222604.0,289388,293752,7192,1012.4
2018,4,10,수원시영통구,3.01,23559,3.09,39379.0,605162,596617,0,38997.0
2018,4,10,수원시팔달구,3.04,6216,3.08,39379.0,605162,596617,0,10139.75
2018,4,10,수원시권선구,3.04,18331,3.12,39379.0,605162,596617,0,31096.75
2018,4,10,수원시장안구,2.9,12420,3.03,487028.0,605162,596617,39379,20888.65
2018,4,10,성남시중원구,2.83,82,3.08,17368.0,477730,486670,0,117.0
2018,4,10,성남시분당구,3.28,285,3.31,17368.0,477730,486670,0,419.3
2018,4,10,부천시,3.11,5611,3.12,337968.0,424548,427041,22351,9960.35
2018,4,10,동두천시,3.03,3340,2.95,42568.0,48276,48645,3255,6228.0
2018,4,10,남양주시,2.97,3792,2.97,259020.0,335970,337271,6785,6875.05
2018,4,10,군포시,3.22,3151,3.23,107022.0,138890,140744,6864,5182.95
2018,4,10,구리시,3.64,5545,3.07,77715.0,99260,100810,1403,23228.7
2018,4,10,광주시,4.85,412,4.51,143127.0,180189,171305,12398,21743.3
2018,4,10,고양시,2.88,328,3.08,411178.0,511210,530541,12401,373.15
2018,4,11,화성시,3.09,36348,3.18,283903.0,373610,348610,37023,70665.53
2018,4,11,포천시,3.54,3590,3.49,69028.0,80120,72190,12189,6831.15
2018,4,11,평택시,3.15,3707,3.32,208004.0,249525,237215,21774,6754.7
2018,4,11,파주시,3.52,14534,3.55,182723.0,224181,217436,10667,26416.15
2018,4,11,이천시,3.27,6352,3.37,87948.0,109076,104172,6854,13777.3
2018,4,11,의정부시,3.57,2241,3.64,181130.0,218426,224539,4365,3765.75
2018,4,11,의왕시,3.72,3955,3.49,58910.0,77281,77398,1168,23738.45
2018,4,11,용인시,3.2,54131,3.31,375809.0,501515,508308,17344,93635.5
2018,4,11,오산시,3.19,12406,3.27,87464.0,111495,105260,8769,22638.5
2018,4,11,여주시,3.08,1792,3.17,49146.0,56634,55264,3427,3874.75
2018,4,11,양주시,3.39,8117,3.43,85917.0,107686,104590,7107,14401.1
2018,4,11,안양시,3.0,612,3.01,222604.0,289388,293752,7192,1095.65
2018,4,11,시흥시,0.0,1,0.05,173202.0,226357,206070,32947,0.05
2018,4,11,수원시팔달구,3.32,6952,3.45,39379.0,605162,596617,0,11081.85
2018,4,11,수원시장안구,3.43,13757,3.35,487028.0,605162,596617,39379,24675.0
2018,4,11,수원시권선구,3.19,19168,3.26,39379.0,605162,596617,0,32649.6
2018,4,11,수원시영통구,3.25,25454,3.33,39379.0,605162,596617,0,42018.3
2018,4,11,성남시중원구,2.68,92,3.45,17368.0,477730,486670,0,110.75
2018,4,11,성남시분당구,3.22,286,3.32,17368.0,477730,486670,0,411.7
2018,4,11,부천시,3.17,5932,3.3,337968.0,424548,427041,22351,10175.4
2018,4,11,동두천시,3.47,4039,3.57,42568.0,48276,48645,3255,7126.25
2018,4,11,남양주시,3.47,4491,3.52,259020.0,335970,337271,6785,8039.5
2018,4,11,군포시,3.44,3485,3.58,107022.0,138890,140744,6864,5538.4
2018,4,11,구리시,3.96,6209,3.44,77715.0,99260,100810,1403,25235.0
2018,4,11,광주시,2.9,272,2.97,143127.0,180189,171305,12398,12993.2
2018,4,11,고양시,3.15,346,3.25,411178.0,511210,530541,12401,408.95
2018,4,12,화성시,2.99,35980,3.15,283903.0,373610,348610,37023,68322.54
2018,4,12,포천시,3.1,3287,3.19,69028.0,80120,72190,12189,5980.1
2018,4,12,평택시,3.0,3476,3.12,208004.0,249525,237215,21774,6453.25
2018,4,12,파주시,3.13,13340,3.26,182723.0,224181,217436,10667,23516.6
2018,4,12,이천시,3.02,5934,3.15,87948.0,109076,104172,6854,12730.9
2018,4,12,의정부시,3.34,2076,3.38,181130.0,218426,224539,4365,3532.0
2018,4,12,의왕시,2.57,3715,3.28,58910.0,77281,77398,1168,16422.85
2018,4,12,용인시,3.17,54231,3.31,375809.0,501515,508308,17344,92833.25
2018,4,12,오산시,2.91,11678,3.08,87464.0,111495,105260,8769,20661.65
2018,4,12,여주시,2.93,1686,2.98,49146.0,56634,55264,3427,3684.25
2018,4,12,양주시,3.19,7661,3.24,85917.0,107686,104590,7107,13565.8
2018,4,12,안양시,2.95,601,2.96,222604.0,289388,293752,7192,1075.45
2018,4,12,수원시권선구,2.98,18615,3.16,39379.0,605162,596617,0,30565.0
2018,4,12,수원시영통구,3.03,24422,3.2,39379.0,605162,596617,0,39263.8
2018,4,12,수원시팔달구,2.99,6329,3.14,39379.0,605162,596617,0,9983.1
2018,4,12,수원시장안구,3.42,14398,3.51,487028.0,605162,596617,39379,24586.15
2018,4,12,성남시중원구,3.27,80,3.0,17368.0,477730,486670,0,135.5
2018,4,12,성남시분당구,2.98,274,3.18,17368.0,477730,486670,0,381.5
2018,4,12,부천시,3.07,5743,3.19,337968.0,424548,427041,22351,9857.5
2018,4,12,동두천시,3.09,3639,3.22,42568.0,48276,48645,3255,6342.65
2018,4,12,남양주시,3.09,4054,3.17,259020.0,335970,337271,6785,7152.75
2018,4,12,군포시,3.05,3119,3.2,107022.0,138890,140744,6864,4920.5
2018,4,12,구리시,2.72,5890,3.26,77715.0,99260,100810,1403,17353.7
2018,4,12,광주시,3.52,301,3.29,143127.0,180189,171305,12398,15783.0
2018,4,12,고양시,3.92,419,3.94,411178.0,511210,530541,12401,508.85
2018,4,13,화성시,2.89,34838,3.05,283903.0,373610,348610,37023,65913.4
2018,4,13,포천시,3.01,3326,3.23,69028.0,80120,72190,12189,5817.9
2018,4,13,평택시,2.94,3454,3.1,208004.0,249525,237215,21774,6312.95
2018,4,13,파주시,3.13,13384,3.27,182723.0,224181,217436,10667,23479.2
2018,4,13,이천시,3.1,5985,3.18,87948.0,109076,104172,6854,13064.0
2018,4,13,의정부시,3.01,1926,3.13,181130.0,218426,224539,4365,3181.8
2018,4,13,의왕시,4.03,3817,3.37,58910.0,77281,77398,1168,25753.45
2018,4,13,용인시,2.88,50066,3.06,375809.0,501515,508308,17344,84419.45
2018,4,13,오산시,2.93,11836,3.12,87464.0,111495,105260,8769,20794.2
2018,4,13,여주시,3.0,1753,3.1,49146.0,56634,55264,3427,3771.75
2018,4,13,양주시,3.1,7734,3.27,85917.0,107686,104590,7107,13164.65
2018,4,13,안양시,2.98,630,3.1,222604.0,289388,293752,7192,1086.2
2018,4,13,수원시장안구,2.81,12441,3.03,487028.0,605162,596617,39379,20226.0
2018,4,13,수원시영통구,2.85,23276,3.05,39379.0,605162,596617,0,36872.85
2018,4,13,수원시팔달구,2.89,6321,3.14,39379.0,605162,596617,0,9660.75
2018,4,13,수원시권선구,2.91,18338,3.12,39379.0,605162,596617,0,29785.15
2018,4,13,성남시중원구,2.34,67,2.52,17368.0,477730,486670,0,96.95
2018,4,13,성남시분당구,2.57,253,2.94,17368.0,477730,486670,0,328.9
2018,4,13,부천시,3.02,5687,3.16,337968.0,424548,427041,22351,9692.15
2018,4,13,동두천시,3.14,3711,3.28,42568.0,48276,48645,3255,6445.55
2018,4,13,남양주시,2.95,4027,3.15,259020.0,335970,337271,6785,6845.05
2018,4,13,군포시,2.86,2974,3.05,107022.0,138890,140744,6864,4614.2
2018,4,13,구리시,3.9,5874,3.25,77715.0,99260,100810,1403,24864.45
2018,4,13,광주시,3.42,307,3.36,143127.0,180189,171305,12398,15316.1
2018,4,13,고양시,3.06,325,3.06,411178.0,511210,530541,12401,396.55
2018,4,14,화성시,2.61,28933,2.53,283903.0,373610,348610,37023,59545.06
2018,4,14,포천시,2.98,2862,2.78,69028.0,80120,72190,12189,5743.55
2018,4,14,평택시,2.6,2859,2.56,208004.0,249525,237215,21774,5592.2
2018,4,14,파주시,2.78,10996,2.69,182723.0,224181,217436,10667,20897.9
2018,4,14,이천시,2.58,4704,2.5,87948.0,109076,104172,6854,10868.25
2018,4,14,의정부시,2.98,1751,2.85,181130.0,218426,224539,4365,3147.05
2018,4,14,의왕시,2.71,3166,2.8,58910.0,77281,77398,1168,17312.45
2018,4,14,용인시,2.63,41833,2.56,375809.0,501515,508308,17344,76996.7
